ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 2007 (MWh)"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","2.105"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","16.995"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","1.594"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","58.666"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","1.383"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","5.638"
"Santiago","4317400","-29.189699999990","-54.866599999990","4.269"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","6.553"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","12.381"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","3.598"
"Santo Antônio do Palma","4317558","-28.495600000000","-52.026699999990","1.636"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","3.211"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","15.938"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","1.291"
"São Borja","4318002","-28.657800000000","-56.003599999990","46.266"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","375"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","5.055"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","5.141"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","7.370"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","2.980"
"São João da Urtiga","4318424","-27.819500000000","-51.825699999990","1.453"
"São João do Polêsine","4318432","-29.619399999990","-53.443899999990","97"
"São Jorge","4318440","-28.498400000000","-51.706400000000","1.897"
"São José das Missões","4318457","-27.778900000000","-53.122599999990","973"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","1.572"
"São José do Inhacorá","4318499","-27.725100000000","-54.127499999990","1.106"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","2.350"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","3.649"
"São José do Sul","4318614","-29.529000000000","-51.487099999990","1.760"
"São José dos Ausentes","4318622","-28.747599999990","-50.067700000000","1.462"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","162"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","15.963"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","20.768"
