ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1995 (MWh)"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","538"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","995"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","4.395"
"Soledade","4320800","-28.830600000000","-52.513100000000","8.781"
"Tapera","4321006","-28.627700000000","-52.861199999990","4.286"
"Tapes","4321105","-30.668299999990","-51.399099999990","6.231"
"Taquara","4321204","-29.650500000000","-50.775300000000","23.630"
"Taquari","4321303","-29.794300000000","-51.865299999990","9.543"
"Taquaruçu do Sul","4321329","-27.400400000000","-53.470300000000","386"
"Tavares","4321352","-31.284300000000","-51.088000000000","760"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","3.643"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","2.584"
"Teutônia","4321451","-29.448200000000","-51.804400000000","24"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","496"
"Torres","4321501","-29.333400000000","-49.733300000000","19.178"
"Tramandaí","4321600","-29.984100000000","-50.132199999990","22.441"
"Três Arroios","4321634","-27.500299999990","-52.144799999990","332"
"Três Cachoeiras","4321667","-29.448699999990","-49.927500000000","2.511"
"Três Coroas","4321709","-29.513700000000","-50.773899999990","7.661"
"Três de Maio","4321808","-27.780000000000","-54.235700000000","9.364"
"Três Forquilhas","4321832","-29.538399999990","-50.070799999990","160"
"Três Palmeiras","4321857","-27.613900000000","-52.843699999990","479"
"Três Passos","4321907","-27.455500000000","-53.929600000000","10.106"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","577"
"Triunfo","4322004","-29.929099999990","-51.707500000000","4.685"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","2.149"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","118"
"Tupanciretã","4322202","-29.085799999990","-53.844499999990","6.620"
"Tupandi","4322251","-29.477200000000","-51.417400000000","250"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","2.687"
"União da Serra","4322350","-28.783300000000","-52.023800000000","112"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","61.637"
"Vacaria","4322509","-28.507899999990","-50.941800000000","21.061"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","493"
"Vale Real","4322541","-29.391900000000","-51.255899999990","1.344"
"Vanini","4322558","-28.475800000000","-51.844700000000","249"
"Venâncio Aires","4322608","-29.614300000000","-52.193199999990","17.534"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","5.134"
"Veranópolis","4322806","-28.931200000000","-51.551600000000","7.412"
"Viadutos","4322905","-27.571600000000","-52.021099999990","876"
"Viamão","4323002","-30.081900000000","-51.019399999990","80.509"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","615"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","569"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","432"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","695"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","7"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","349"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","169"
"Vista Gaúcha","4323705","-27.290199999990","-53.697400000000","308"
"Vitória das Missões","4323754","-28.351600000000","-54.503999999990","16"
"Xangri-lá","4323804","-29.806500000000","-50.051900000000","10.699"
