"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Total 2007 (MWh)"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","24.429"
"São João da Urtiga","4318424","-27.819500000000","-51.825699999990","3.865"
"São João do Polêsine","4318432","-29.619399999990","-53.443899999990","98"
"São Jorge","4318440","-28.498400000000","-51.706400000000","5.222"
"São José das Missões","4318457","-27.778900000000","-53.122599999990","1.973"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","9.597"
"São José do Inhacorá","4318499","-27.725100000000","-54.127499999990","2.168"
"São José do Norte","4318507","-32.015099999990","-52.033099999990","15.921"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","9.428"
"São José do Sul","4318614","-29.529000000000","-51.487099999990","2.703"
"São José dos Ausentes","4318622","-28.747599999990","-50.067700000000","4.071"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","522.700"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","46.436"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","60.499"
"São Marcos","4319000","-28.967700000000","-51.069600000000","46.595"
"São Martinho","4319109","-27.711200000000","-53.969900000000","7.017"
"São Martinho da Serra","4319125","-29.539700000000","-53.859000000000","5.445"
"São Miguel das Missões","4319158","-28.556000000000","-54.555900000000","110"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","3.901"
"São Paulo das Missões","4319307","-28.019500000000","-54.940399999990","5.183"
"São Pedro das Missões","4319364","-27.773219999990","-53.250470000000","1.350"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","7.786"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","17.415"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","47.172"
"São Sepé","4319604","-30.164300000000","-53.560299999990","39.152"
"São Valentim","4319703","-27.558299999990","-52.523699999990","3.798"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","1.637"
"São Valério do Sul","4319737","-27.790600000000","-53.936799999990","1.211"
"São Vendelino","4319752","-29.372900000000","-51.367500000000","4.472"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","12.624"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","166.976"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","513.264"
"Sarandi","4320107","-27.942000000000","-52.923099999990","44.527"
"Seberi","4320206","-27.482900000000","-53.402600000000","9.992"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","3.074"
"Segredo","4320263","-29.352300000000","-52.976700000000","3.438"
"Selbach","4320305","-28.629400000000","-52.949800000000","358"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","195"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","9.471"
"Serafina Corrêa","4320404","-28.712599999990","-51.935299999990","47.719"
"Sério","4320453","-29.390400000000","-52.268500000000","315"
"Sertão","4320503","-27.979800000000","-52.258800000000","10.512"
"Sertão Santana","4320552","-30.456199999990","-51.601700000000","15.826"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","1.665"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","4.629"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","77"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","8.125"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","18.274"
"Soledade","4320800","-28.830600000000","-52.513100000000","36.909"
"Tabaí","4320859","-29.643000000000","-51.682299999990","233"
"Tapejara","4320909","-28.065200000000","-52.009700000000","63.582"
"Tapera","4321006","-28.627700000000","-52.861199999990","54.419"
"Tapes","4321105","-30.668299999990","-51.399099999990","26.478"
"Taquara","4321204","-29.650500000000","-50.775300000000","78.598"
